Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_From_EUR,Price_To_EUR,WarehouseName,WarehouseCode,WarehouseGLN,WarehouseAddress,IsSameDayAvailable,IsNextDayAvailable,IsNormalDeliveryAvailable,Country_Of_Origin,CO2_Footprint_kg,Packaging_Type,Repairability_Score,Estimated_Lifespan_Years,Material_Recyclable_Pct,Eco_Label,Carbon_Neutral_Certified
PROD-2025-0011,Rotator Burn Machine,Fitness,Home Gym Equipment,554994,47174490,78.2,117.76,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,,26.75,Minimal Packaging,,,32,,FALSE
PROD-2025-0012,Electric Cordless Rotary Tool Kit,Home & Garden,Kitchen Gadgets,157359,6294360,36.8,55.2,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,77.32,Minimal Packaging,,14.7,,,
PROD-2025-0013,Portable Air Cooling Fan,Electronics,Portable Audio,451274,13538220,27.6,41.4,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,,220.5,,9,2.4,6,,FALSE
PROD-2025-0014,Labubu Collectible Art Toy,Fashion,Accessories,1951773,48794325,23,34.96,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,Bangladesh,49.31,Biodegradable,4,3.9,67,,FALSE
PROD-2025-0015,Korean Glass Skin Serum,Beauty & Skincare,Korean Skincare,2489696,44814528,16.56,24.84,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,7.79,Recyclable Cardboard,1,0.3,,,FALSE
PROD-2025-0016,Heatless Hair Curler Set,Beauty & Skincare,Hair Care Tools,2765107,33181284,11.04,16.56,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,,8.7,Plastic,3,,,,FALSE
PROD-2025-0017,Linen Breathable Bedsheet Set,Home & Garden,Home Office Decor,363291,23613915,59.8,90.16,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,China,,Foam + Plastic,3,,,,FALSE
PROD-2025-0018,Smart Pet Feeder with Camera,Pet,Smart Pet Feeders,695025,83403000,110.4,165.6,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,China,18.84,,,,39,,FALSE
PROD-2025-0019,Biodegradable Bamboo Toothbrush 10-Pack,Eco-Friendly,Zero-waste Kits,412771,6191565,13.8,20.24,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,USA,,Minimal Packaging,,,,EU Ecolabel,FALSE
PROD-2025-0020,Digital Planner 2025 Pro Edition,Digital Goods,Digital Planners,268352,5098688,17.48,25.76,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,,0,Digital - No Packaging,,,,,
PROD-2025-0021,Pro Activewear Mat,Fitness,Activewear,75967,9647809,106.72,126.96,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,USA,8.97,Foam + Plastic,3,4.9,,,FALSE
PROD-2025-0022,Smart Smart Home Devices Watch,Electronics,Smart Home Devices,29164,3718410,87.4,147.2,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,Taiwan,205.53,Recyclable Cardboard,5,5.3,36,,FALSE
PROD-2025-0023,Eco Eco-friendly Cleaning Blender,Home & Garden,Eco-friendly Cleaning,31900,3285700,72.68,116.84,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,TRUE,TRUE,Netherlands,161.12,Recyclable Cardboard,,,40,,FALSE
PROD-2025-0024,Sustainable Yoga Gear Scale,Fitness,Yoga Gear,49152,1253376,11.04,35.88,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,TRUE,TRUE,China,98.44,,5,5.8,70,,FALSE
PROD-2025-0025,Wireless Smart Fitness Trackers Roller,Fitness,Smart Fitness Trackers,19631,1187675.5,26.68,84.64,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,USA,75.02,Plastic,5,9,,,FALSE
PROD-2025-0026,Sustainable Interactive Pet Toys Shampoo,Pet,Interactive Pet Toys,282199,29066497,80.04,109.48,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,China,4.31,Plastic,3,,,,FALSE
PROD-2025-0027,Sustainable Kitchen Gadgets Blender,Home & Garden,Kitchen Gadgets,177772,23732562,101.2,144.44,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,China,,Mixed Plastic+Cardboard,,16.3,33,Energy Star,
PROD-2025-0028,Portable Solar Powered Gadgets Utensils,Eco-Friendly,Solar Powered Gadgets,81687,10415092.5,92.92,141.68,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,FALSE,TRUE,USA,15.98,Recyclable Cardboard,3,3.8,84,,FALSE
PROD-2025-0029,Smart Smart Home Devices Speaker,Electronics,Smart Home Devices,16198,2470195,129.72,150.88,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,FALSE,TRUE,China,224.49,Biodegradable,9,5.6,,,FALSE
PROD-2025-0030,Pro Pet Apparel Bowl,Pet,Pet Apparel,37403,1963657.5,34.04,62.56,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,14.56,Plastic,1,,,,
PROD-2025-0031,Flex Stock Media Bundle,Digital Goods,Stock Media,61941,8578828.5,105.8,149.04,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,USA,0,Digital - No Packaging,,,,,
PROD-2025-0032,Smart Organic Baby Clothing Bib,Baby,Organic Baby Clothing,98315,15287982.5,106.72,179.4,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,USA,12.65,,4,4.8,,,FALSE
PROD-2025-0033,Ultra Phone Accessories Hub,Electronics,Phone Accessories,47671,4933948.5,74.52,115.92,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,South Korea,53.79,Recyclable Cardboard,3,6.7,15,Energy Star,TRUE
PROD-2025-0034,Swift Wearable Tech Watch,Electronics,Wearable Tech,44064,3767472,42.32,115,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,China,210.5,Recyclable Cardboard,,10,,,FALSE
PROD-2025-0035,Eco Portable Audio Adapter,Electronics,Portable Audio,29256,4008072,94.76,157.32,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,,,Mixed Plastic+Cardboard,,8.1,,,
PROD-2025-0036,Smart Recovery Tools Mat,Fitness,Recovery Tools,404116,55363892,87.4,164.68,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,TRUE,TRUE,,69.35,Plastic,3,10.5,,,FALSE
PROD-2025-0037,Aura Recovery Tools Mat,Fitness,Recovery Tools,97895,12677402.5,115,123.28,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,TRUE,TRUE,USA,,Recyclable Cardboard,6,,63,,FALSE
PROD-2025-0038,Portable Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,60497,5686718,60.72,112.24,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,South Korea,4.39,Minimal Packaging,,0.6,53,,FALSE
PROD-2025-0039,Aura Smart Pet Feeders Shampoo,Pet,Smart Pet Feeders,82737,9969808.5,79.12,142.6,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,USA,11.56,Recyclable Cardboard,,3.2,,,FALSE
PROD-2025-0040,Sustainable Pet Apparel Collar,Pet,Pet Apparel,62382,5832717,71.76,100.28,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,,8.01,Plastic,5,,39,,FALSE
PROD-2025-0041,Luxe SaaS Subscriptions Guide,Digital Goods,SaaS Subscriptions,37169,3177949.5,44.16,113.16,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,UK,0,Digital - No Packaging,,,,FSC Certified,
PROD-2025-0042,Zen Smart Fitness Trackers Band,Fitness,Smart Fitness Trackers,94598,10689574,69,138.92,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,FALSE,TRUE,USA,84.1,Plastic,,4.1,,,FALSE
PROD-2025-0043,Pure Kitchen Gadgets Blender,Home & Garden,Kitchen Gadgets,71723,10866034.5,135.24,143.52,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,,,Plastic,4,12.2,56,,FALSE
PROD-2025-0044,Swift Smart Home Devices Earbuds,Electronics,Smart Home Devices,20249,1660418,70.84,80.04,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,FALSE,TRUE,,,Plastic,7,,62,,FALSE
PROD-2025-0045,Glow Solar Powered Gadgets Bottle,Eco-Friendly,Solar Powered Gadgets,96162,9135390,81.88,92.92,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,Netherlands,11.32,,,3.3,,Cradle to Cradle,
PROD-2025-0046,Ultra Smart Home Devices Power Bank,Electronics,Smart Home Devices,53545,3293017.5,31.28,81.88,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,FALSE,TRUE,,,Biodegradable,9,5.4,24,,
PROD-2025-0047,Ergonomic Charging Solutions Adapter,Electronics,Charging Solutions,84244,7413472,54.28,107.64,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,FALSE,TRUE,China,,Mixed Plastic+Cardboard,7,5.5,60,,
PROD-2025-0048,Organic Korean Skincare Oil,Beauty & Skincare,Korean Skincare,67435,12711497.5,128.8,218.04,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,France,12.41,Biodegradable,,1,,,FALSE
PROD-2025-0049,Vital Recovery Tools Mat,Fitness,Recovery Tools,33535,4678132.5,82.8,173.88,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,,,Mixed Plastic+Cardboard,6,8,45,,
PROD-2025-0050,Pure Smart Baby Monitors Monitor,Baby,Smart Baby Monitors,46247,7584508,132.48,169.28,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,,14.94,,5,3.5,31,,
PROD-2025-0051,Vital Stock Media Template,Digital Goods,Stock Media,55282,4616047,69,84.64,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,USA,0,Digital - No Packaging,,,,,
PROD-2025-0052,Minimalist Eco-friendly Cleaning Desk,Home & Garden,Eco-friendly Cleaning,44944,2516864,16.56,86.48,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,FALSE,TRUE,China,52.69,Recyclable Cardboard,7,12.5,70,,FALSE
PROD-2025-0053,Ultra Charging Solutions Case,Electronics,Charging Solutions,25594,1522843,27.6,81.88,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,South Korea,,,9,9.5,5,,FALSE
PROD-2025-0054,Zen Organic Pet Food Treats,Pet,Organic Pet Food,37430,7036840,135.24,210.68,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,TRUE,TRUE,China,11.33,Plastic,,3.3,,EU Ecolabel,FALSE
PROD-2025-0055,Vital Online Courses Course,Digital Goods,Online Courses,36816,4638816,111.32,120.52,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,Netherlands,0,Digital - No Packaging,,,,,
PROD-2025-0056,Organic Phone Accessories Stand,Electronics,Phone Accessories,42481,3759568.5,42.32,120.52,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",TRUE,TRUE,TRUE,China,220.43,Mixed Plastic+Cardboard,8,,24,,FALSE
PROD-2025-0057,Pro Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,40925,2680587.5,57.04,63.48,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Germany,14.34,Minimal Packaging,1,0.6,41,,FALSE
PROD-2025-0058,Wireless Accessories Belt,Fashion,Accessories,25083,2069347.5,42.32,109.48,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Portugal,,Plastic,2,,,FSC Certified,
PROD-2025-0059,Organic Eco-friendly Diapers Bottle,Baby,Eco-friendly Diapers,31692,3723810,85.56,130.64,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,China,,Mixed Plastic+Cardboard,4,3.7,,,FALSE
PROD-2025-0060,Glow Recovery Tools Tracker,Fitness,Recovery Tools,19606,1725328,61.64,100.28,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,China,50.9,Mixed Plastic+Cardboard,5,,55,,FALSE
PROD-2025-0061,Aura Wearable Tech Adapter,Electronics,Wearable Tech,56878,4351167,68.08,72.68,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,China,82.26,Mixed Plastic+Cardboard,8,,,,FALSE
PROD-2025-0062,Portable Solar Powered Gadgets Wrap,Eco-Friendly,Solar Powered Gadgets,78092,12065214,123.28,161,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,Netherlands,36.48,Plastic,,9,,Fair Trade,
PROD-2025-0063,Luxe Portable Audio Watch,Electronics,Portable Audio,82876,13591664,128.8,172.96,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,FALSE,TRUE,Taiwan,125.06,,4,7.8,76,,TRUE
PROD-2025-0064,Pure Smart Fitness Trackers Bench,Fitness,Smart Fitness Trackers,32937,2091499.5,22.08,94.76,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,FALSE,TRUE,Taiwan,15.29,Recyclable Cardboard,7,,13,,FALSE
PROD-2025-0065,Minimalist Womenswear Bag,Fashion,Womenswear,26233,3672620,126.04,131.56,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",TRUE,TRUE,TRUE,,8.46,Mixed Plastic+Cardboard,3,4,58,,FALSE
PROD-2025-0066,Zen Yoga Gear Scale,Fitness,Yoga Gear,26351,2463818.5,69,103.04,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,FALSE,TRUE,USA,,Plastic,5,11.8,,,
PROD-2025-0067,Smart Home Office Decor Organizer,Home & Garden,Home Office Decor,66996,9982404,99.36,174.8,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Germany,14.06,Plastic,,6,31,,FALSE
PROD-2025-0068,Wireless Smart Fitness Trackers Gloves,Fitness,Smart Fitness Trackers,37192,5578800,107.64,168.36,Bol - BFC XL 2,BFCXL2,8.71425E+12,"Rietgraaf 10, 6678 PJ Oosterhout",FALSE,TRUE,TRUE,Germany,80.86,,4,,35,EU Ecolabel,FALSE
PROD-2025-0069,Eco Educational Toys Carrier,Baby,Educational Toys,54176,8072224,113.16,161,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Germany,14.66,Mixed Plastic+Cardboard,6,2.8,12,,FALSE
PROD-2025-0070,Wireless Menswear Hoodie,Fashion,Menswear,57418,9043335,110.4,179.4,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,Bangladesh,,Mixed Plastic+Cardboard,4,3.1,60,,FALSE
PROD-2025-0071,Swift Womenswear Jacket,Fashion,Womenswear,32693,6064551.5,138,203.32,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,,13.74,Mixed Plastic+Cardboard,1,,,,FALSE
PROD-2025-0072,Ergonomic Charging Solutions Power Bank,Electronics,Charging Solutions,50368,4810144,70.84,104.88,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,South Korea,45.58,,7,,,,FALSE
PROD-2025-0073,Smart Phone Accessories Power Bank,Electronics,Phone Accessories,90489,9682323,69,127.88,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,China,64.99,Plastic,,4.9,78,,FALSE
PROD-2025-0074,Eco Stock Media Asset,Digital Goods,Stock Media,38385,3205147.5,72.68,80.96,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,Netherlands,0,Digital - No Packaging,,,,,
PROD-2025-0075,Flex Smart Fitness Trackers Mat,Fitness,Smart Fitness Trackers,61756,9850082,105.8,187.68,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,Taiwan,38.35,Recyclable Cardboard,3,,8,,FALSE
PROD-2025-0076,Minimalist Sustainable Apparel Jacket,Fashion,Sustainable Apparel,21905,3658135,132.48,174.8,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Portugal,44.52,Biodegradable,,,,,FALSE
PROD-2025-0077,Ergonomic Recovery Tools Dumbbell,Fitness,Recovery Tools,91811,6472675.5,36.8,92.92,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,61.35,Plastic,,3.5,,,FALSE
PROD-2025-0078,Aura Baby Safety Gear Toy,Baby,Baby Safety Gear,98055,15884910,127.88,170.2,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,8.44,Mixed Plastic+Cardboard,4,1.2,,,FALSE
PROD-2025-0079,Zen Organic Baby Clothing Diaper,Baby,Organic Baby Clothing,88083,9028507.5,52.44,136.16,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,24.44,Minimal Packaging,1,1.4,,,
PROD-2025-0080,Premium Baby Safety Gear Toy,Baby,Baby Safety Gear,39532,2095196,21.16,76.36,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,Netherlands,16.86,Biodegradable,6,1.9,,,FALSE
PROD-2025-0081,Zen Stock Media App,Digital Goods,Stock Media,93151,10246610,59.8,142.6,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,,0,Digital - No Packaging,,,,,
PROD-2025-0082,Wireless Wearable Tech Watch,Electronics,Wearable Tech,25108,2058856,53.36,97.52,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,China,161.76,Mixed Plastic+Cardboard,,,,,TRUE
PROD-2025-0083,Pure Baby Safety Gear Carrier,Baby,Baby Safety Gear,95878,5608863,49.68,57.96,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Netherlands,25.95,Mixed Plastic+Cardboard,5,4,,,
PROD-2025-0084,Glow Hair Care Tools Perfume,Beauty & Skincare,Hair Care Tools,62742,6023232,82.8,93.84,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,TRUE,China,14.74,,1,,,,FALSE
PROD-2025-0085,Ultra Wearable Tech Stand,Electronics,Wearable Tech,32544,6004368,127.88,211.6,Bol - Ingram Micro,INGRAM,8.71242E+12,"Veerweg 16, 5145 NS Waalwijk",FALSE,TRUE,TRUE,China,167.12,,,4.3,24,,FALSE
PROD-2025-0086,Premium Accessories Jacket,Fashion,Accessories,463415,45414670,59.8,120.52,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,China,17.55,Biodegradable,5,,70,,FALSE
PROD-2025-0087,Ultra Yoga Gear Gloves,Fitness,Yoga Gear,68472,11708712,138,176.64,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,,,,3,7.9,72,,FALSE
PROD-2025-0088,Glow E-books Preset,Digital Goods,E-books,22749,841713,29.44,38.64,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,FALSE,FALSE,USA,0,Digital - No Packaging,,,,,
PROD-2025-0089,Glow Reusable Packaging Soap,Eco-Friendly,Reusable Packaging,12128,1036944,34.96,122.36,Bol - BFC XL,BFCXL,8.71425E+12,"Divisiedok 1, 3439 JM Nieuwegein",FALSE,TRUE,TRUE,Sweden,,Recyclable Cardboard,6,,,,FALSE
PROD-2025-0090,Wireless Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,67734,6570198,72.68,105.8,Bol - BFC Site 2,BFC2,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,Germany,6.57,Recyclable Cardboard,3,,52,Energy Star,FALSE
PROD-2025-0091,Ultra Korean Skincare Toner,Beauty & Skincare,Korean Skincare,48779,2195055,36.8,46,Bol - BFC Site 1,BFC1,8.71425E+12,"Mechie Trommelenweg 1, 5145 ND Waalwijk",FALSE,TRUE,TRUE,France,14.22,Mixed Plastic+Cardboard,,,,,FALSE
